NM_001180043.1	YAL068C
NM_001184582.1	YAL067W-A
NM_001178208.1	YAL067C
NM_001179897.1	YAL065C
NM_001180042.1	YAL064W-B
NM_001180041.1	YAL064C-A
NM_001178206.2	YAL064W
NM_001184642.1	YAL063C-A
NM_001178205.1	YAL063C
NM_001178204.1	YAL062W
NM_001178203.1	YAL061W
NM_001178202.2	YAL060W
NM_001178201.2	YAL059W
NM_001178200.1	YAL058W
NM_001178199.2	YAL056W
NM_001178198.1	YAL055W
NM_001178197.1	YAL054C
NM_001178196.2	YAL053W
NM_001178195.2	YAL051W
NM_001178194.1	YAL049C
NM_001178193.1	YAL048C
NM_001178192.2	YAL047C
NM_001178191.1	YAL046C
NM_001184453.1	YAL044W-A
NM_001178189.1	YAL044C
NM_001178188.1	YAL043C
NM_001178187.1	YAL042W
NM_001178186.1	YAL041W
NM_001178185.1	YAL040C
NM_001178184.1	YAL039C
NM_001178183.1	YAL038W
NM_001184629.1	YAL037C-A
NM_001178182.1	YAL037W
NM_001178181.1	YAL036C
NM_001178180.1	YAL035W
NM_001178179.1	YAL034W-A
NM_001180035.1	YAL034C
NM_001178178.1	YAL033W
NM_001178177.1	YAL032C
NM_001178176.1	YAL031C
NM_001178175.1	YAL030W
NM_001178174.1	YAL029C
NM_001178173.1	YAL028W
NM_001178172.1	YAL027W
NM_001178171.2	YAL026C
NR_132149.1	YNCA0001W
NM_001178170.2	YAL025C
NM_001178169.1	YAL024C
NM_001178168.1	YAL023C
NM_001178167.1	YAL022C
NM_001178166.1	YAL021C
NM_001178165.2	YAL020C
NM_001178164.1	YAL019W
NM_001178163.1	YAL018C
NM_001178162.2	YAL017W
NM_001178161.1	YAL016W
NM_001178160.1	YAL015C
NM_001178159.1	YAL014C
NM_001178158.2	YAL013W
NM_001178157.1	YAL012W
NM_001178156.1	YAL011W
NM_001178155.2	YAL010C
NM_001178154.1	YAL009W
NM_001178153.1	YAL008W
NM_001178152.1	YAL007C
unassigned_transcript_1	YNCA0002W
NM_001178151.1	YAL005C
NM_001178150.1	YAL003W
NR_132150.1	YNCA0003W
NM_001178149.1	YAL002W
NM_001178148.1	YAL001C
NM_001178209.1	YAR002W
NM_001180033.1	YAR002C-A
NM_001178210.1	YAR003W
NM_001178211.1	YAR007C
NM_001178212.1	YAR008W
NM_001178213.1	YAR009C
NM_001178214.1	YAR010C
unassigned_transcript_2	YNCA0004W
NM_001178215.2	YAR014C
NM_001178216.1	YAR015W
NM_001178217.1	YAR018C
NM_001178218.2	YAR019C
NM_001178219.1	YAR020C
NM_001178220.2	YAR023C
unassigned_transcript_3	YNCA0005W
unassigned_transcript_4	YNCA0006C
NM_001178221.1	YAR027W
NM_001178222.1	YAR028W
NM_001178223.1	YAR029W
NM_001178224.1	YAR031W
NM_001178225.1	YAR033W
NM_001178226.1	YAR035W
NM_001184583.1	YAR035C-A
NM_001178227.1	YAR042W
NM_001178230.1	YAR050W
unassigned_transcript_5	YAR061W
NM_001178235.1	YAR064W
NM_001180045.1	YAR066W
NM_001178236.1	YAR068W
NM_001178239.1	YAR071W
NM_001180054.1	YBL113C
NM_001180053.1	YBL112C
NM_001180052.1	YBL111C
NM_001184458.1	YBL108C-A
unassigned_transcript_6	YNCB0001W
NM_001178347.1	YBL107C
NM_001178346.2	YBL106C
NM_001178345.2	YBL105C
NM_001178344.1	YBL104C
NM_001178343.1	YBL103C
NM_001178342.1	YBL102W
NM_001178341.1	YBL101C
NM_001184585.1	YBL100W-C
NM_001180050.2	YBL100W-B
NM_001180049.1	YBL100W-A
unassigned_transcript_7	YNCB0002W
NM_001178339.2	YBL099W
NM_001178338.1	YBL098W
NM_001178337.2	YBL097W
NM_001178335.1	YBL095W
NM_001178333.1	YBL093C
NM_001178332.1	YBL092W
NM_001184321.1	YBL091C-A
NM_001178331.2	YBL091C
NM_001178330.1	YBL090W
NM_001178329.1	YBL089W
NM_001178328.2	YBL088C
NM_001178327.1	YBL087C
NM_001178326.1	YBL086C
NM_001178325.1	YBL085W
NM_001178324.2	YBL084C
NM_001178322.1	YBL082C
NM_001178321.1	YBL081W
NM_001178320.2	YBL080C
NM_001178319.1	YBL079W
NM_001178318.1	YBL078C
NM_001178316.1	YBL076C
NM_001178315.1	YBL075C
NM_001178314.1	YBL074C
NR_132151.1	YNCB0003W
NM_001178312.1	YBL072C
NM_001184584.1	YBL071C-B
NM_001184454.1	YBL071W-A
NM_001346794.1	YBL071C
NM_001178309.1	YBL069W
NM_001178308.2	YBL068W
NM_001178307.2	YBL067C
NM_001178306.1	YBL066C
NM_001178304.1	YBL064C
NM_001178303.1	YBL063W
NM_001178301.1	YBL061C
NM_001178300.1	YBL060W
NM_001184440.1	YBL059C-A
NM_001178299.1	YBL059W
NM_001178298.1	YBL058W
NM_001178297.2	YBL057C
NM_001178296.2	YBL056W
NM_001178295.1	YBL055C
NM_001178294.1	YBL054W
NM_001178292.1	YBL052C
NM_001178291.1	YBL051C
NM_001178290.1	YBL050W
NM_001178289.1	YBL049W
NM_001348869.1	YBL048W
NM_001178287.1	YBL047C
NM_001178286.1	YBL046W
NM_001178285.1	YBL045C
NM_001178284.1	YBL044W
NM_001178283.1	YBL043W
NM_001178282.1	YBL042C
NM_001178281.1	YBL041W
NM_001178280.1	YBL040C
NM_001184527.1	YBL039W-B
NM_001178279.1	YBL039C
NM_001178278.1	YBL038W
NM_001178277.1	YBL037W
NM_001178276.1	YBL036C
NM_001178275.1	YBL035C
NM_001178274.1	YBL034C
NM_001178273.1	YBL033C
NM_001178272.1	YBL032W
NM_001178271.1	YBL031W
NM_001178270.1	YBL030C
NM_001184457.1	YBL029C-A
NM_001178269.1	YBL029W
NM_001178268.1	YBL028C
NM_001178267.1	YBL027W
NM_001178266.1	YBL026W
NM_001178265.1	YBL025W
NM_001178264.1	YBL024W
NM_001178263.1	YBL023C
NM_001178262.1	YBL022C
NM_001178261.1	YBL021C
NM_001178260.1	YBL020W
NM_001178259.1	YBL019W
NM_001178258.1	YBL018C
NM_001178257.1	YBL017C
NM_001178256.1	YBL016W
NM_001178255.1	YBL015W
unassigned_transcript_8	YNCB0004W
unassigned_transcript_9	YNCB0005C
NM_001178254.2	YBL014C
NM_001178253.1	YBL013W
NM_001178251.1	YBL011W
NM_001178250.1	YBL010C
NM_001178249.1	YBL009W
NM_001184539.1	YBL008W-A
NM_001178248.2	YBL008W
NM_001178247.1	YBL007C
NM_001178246.1	YBL006C
NM_001178245.1	YBL005W
NM_001180048.2	YBL005W-B
NM_001180047.1	YBL005W-A
unassigned_transcript_10	YNCB0006W
NM_001178244.1	YBL004W
NM_001178243.1	YBL003C
NM_001178242.1	YBL002W
NM_001178241.1	YBL001C
NM_001178349.1	YBR001C
NM_001178350.1	YBR002C
NM_001178351.1	YBR003W
NM_001178352.2	YBR004C
NM_001178353.1	YBR005W
NM_001178354.1	YBR006W
NM_001178355.2	YBR007C
NM_001178356.1	YBR008C
NM_001178357.1	YBR009C
NM_001178358.1	YBR010W
NM_001178359.1	YBR011C
NM_001180056.2	YBR012W-B
NM_001180055.1	YBR012W-A
NM_001178361.1	YBR013C
unassigned_transcript_11	YNCB0007W
NM_001178362.1	YBR014C
NM_001178363.1	YBR015C
NM_001178364.1	YBR016W
NM_001178365.1	YBR017C
NM_001178366.1	YBR018C
NM_001178367.1	YBR019C
NR_172474.1	YNCB0008W
NM_001178368.1	YBR020W
NM_001178369.1	YBR021W
NM_001178370.1	YBR022W
NM_001178371.1	YBR023C
NM_001178372.1	YBR024W
NM_001178373.1	YBR025C
NM_001178374.1	YBR026C
NM_001346795.1	YBR027C
NM_001178376.1	YBR028C
NM_001178377.1	YBR029C
NM_001178378.1	YBR030W
NM_001178379.1	YBR031W
NM_001346796.1	YBR032W
NM_001178381.1	YBR033W
NM_001178382.1	YBR034C
NM_001178383.1	YBR035C
NR_132152.1	YNCB0009C
NR_132153.1	YNCB0010W
NM_001178384.1	YBR036C
NM_001178385.1	YBR037C
NM_001178386.1	YBR038W
NM_001178387.1	YBR039W
NM_001178388.1	YBR040W
NM_001178389.1	YBR041W
NM_001178390.1	YBR042C
NM_001178391.2	YBR043C
NM_001178392.2	YBR044C
unassigned_transcript_12	YNCB0011C
NM_001178393.2	YBR045C
NM_001178394.1	YBR046C
NM_001178395.1	YBR047W
NM_001178396.1	YBR048W
NM_001178397.1	YBR049C
NM_001178398.1	YBR050C
NM_001178400.1	YBR052C
NM_001178401.1	YBR053C
NM_001178402.1	YBR054W
NM_001178403.1	YBR055C
unassigned_transcript_13	YNCB0012W
NM_001178404.1	YBR056W
unassigned_transcript_14	YNCB0013W
NM_001270739.1	YBR056W-A
NM_001178405.1	YBR057C
NM_001178406.1	YBR058C
NM_001184442.3	YBR058C-A
NM_001178407.1	YBR059C
NM_001178408.1	YBR060C
NM_001178409.3	YBR061C
NM_001178410.1	YBR062C
NM_001178411.1	YBR063C
NM_001178413.3	YBR065C
NM_001178414.1	YBR066C
NM_001178415.1	YBR067C
NM_001178416.4	YBR068C
NM_001178417.1	YBR069C
NR_172475.1	YNCB0014W
NM_001178418.1	YBR070C
NM_001178419.3	YBR071W
NM_001178420.1	YBR072W
NM_001184540.1	YBR072C-A
NM_001178421.4	YBR073W
NM_001178422.2	YBR074W
NM_001178424.2	YBR076W
NM_001178425.3	YBR077C
NM_001178426.2	YBR078W
NM_001178427.1	YBR079C
NM_001178428.3	YBR080C
NM_001178429.1	YBR081C
unassigned_transcript_15	YNCB0015W
unassigned_transcript_16	YNCB0016W
NM_001178430.1	YBR082C
NM_001178431.3	YBR083W
NM_001178432.1	YBR084W
NM_001180057.1	YBR084C-A
NM_001178433.3	YBR085W
NM_001184443.1	YBR085C-A
NM_001178434.1	YBR086C
NM_001178435.3	YBR087W
NM_001178436.1	YBR088C
NM_001180058.2	YBR089C-A
NM_001178438.4	YBR090C
NM_001178439.1	YBR091C
NM_001178440.1	YBR092C
NM_001178441.3	YBR093C
NM_001178442.2	YBR094W
NM_001178443.1	YBR095C
NM_001178444.3	YBR096W
NM_001178445.2	YBR097W
NM_001178446.1	YBR098W
NM_001178449.3	YBR101C
NM_001178450.1	YBR102C
NM_001178451.1	YBR103W
NM_001178452.3	YBR104W
NM_001178453.1	YBR105C
NM_001178454.1	YBR106W
NM_001178455.3	YBR107C
NM_001178456.2	YBR108W
NM_001178457.1	YBR109C
NM_001178458.3	YBR110W
NM_001178459.1	YBR111C
NM_001184520.1	YBR111W-A
NM_001178460.3	YBR112C
NM_001178462.1	YBR114W
NM_001178463.1	YBR115C
NM_001178465.3	YBR117C
NM_001178466.1	YBR118W
NM_001178467.1	YBR119W
NM_001178468.3	YBR120C
NM_001178469.2	YBR121C
NM_001178470.1	YBR122C
NM_001178471.3	YBR123C
NM_001178473.1	YBR125C
NM_001178474.1	YBR126C
NM_001270740.1	YBR126W-A
NM_001178475.3	YBR127C
NM_001178476.1	YBR128C
NM_001178477.1	YBR129C
NM_001178478.3	YBR130C
NM_001178479.3	YBR131W
NM_001178480.1	YBR132C
NM_001178481.1	YBR133C
NM_001178483.3	YBR135W
NM_001178484.3	YBR136W
NM_001178485.2	YBR137W
NM_001178486.2	YBR138C
NM_001178487.3	YBR139W
NM_001178488.3	YBR140C
NM_001178489.2	YBR141C
NM_001178490.1	YBR142W
NM_001178491.3	YBR143C
NM_001348890.1	YBR144C
NM_001178493.3	YBR145W
NM_001178494.1	YBR146W
NM_001178495.1	YBR147W
NM_001178496.3	YBR148W
NM_001178497.3	YBR149W
NM_001178498.1	YBR150C
NM_001178499.1	YBR151W
NM_001178500.3	YBR152W
NM_001178501.3	YBR153W
NM_001178502.1	YBR154C
NM_001178503.1	YBR155W
NM_001178504.3	YBR156C
NM_001178505.3	YBR157C
NM_001178506.1	YBR158W
NM_001178507.1	YBR159W
NM_001178508.3	YBR160W
NM_001178509.3	YBR161W
NM_001178510.1	YBR162C
NM_001180059.1	YBR162W-A
NM_001178511.3	YBR163W
NM_001178512.3	YBR164C
NM_001178513.1	YBR165W
NM_001178514.1	YBR166C
NM_001178515.3	YBR167C
NM_001178516.3	YBR168W
NM_001178517.1	YBR169C
NM_001178518.1	YBR170C
NM_001178519.3	YBR171W
NM_001178520.3	YBR172C
NM_001178521.1	YBR173C
NM_001178523.1	YBR175W
NM_001178524.3	YBR176W
NM_001178525.3	YBR177C
NM_001178527.1	YBR179C
NM_001178528.1	YBR180W
NM_001178529.3	YBR181C
NM_001178530.3	YBR182C
NM_001184586.1	YBR182C-A
NM_001178531.1	YBR183W
NM_001178532.3	YBR184W
NM_001178533.3	YBR185C
NM_001178534.1	YBR186W
NM_001178535.1	YBR187W
NM_001178536.3	YBR188C
NM_001178537.3	YBR189W
NM_001178539.1	YBR191W
NM_001178540.1	YBR192W
NM_001178541.3	YBR193C
NM_001178542.3	YBR194W
NM_001178543.1	YBR195C
NM_001178544.1	YBR196C
NM_001184541.3	YBR196C-A
NM_001184643.3	YBR196C-B
NM_001178545.1	YBR197C
NM_001178546.1	YBR198C
NM_001178547.3	YBR199W
NM_001178548.3	YBR200W
NM_001184542.1	YBR200W-A
NM_001178549.1	YBR201W
NM_001184676.3	YBR201C-A
NM_001178550.4	YBR202W
NM_001178551.2	YBR203W
NM_001178552.2	YBR204C
NM_001178553.3	YBR205W
NM_001178555.4	YBR207W
NM_001178556.1	YBR208C
NM_001348891.1	YBR209W
unassigned_transcript_17	YNCB0017C
unassigned_transcript_18	YNCB0018W
NM_001178558.1	YBR210W
NM_001178559.3	YBR211C
NM_001178560.3	YBR212W
NM_001178561.1	YBR213W
NM_001178562.1	YBR214W
NM_001178563.3	YBR215W
NM_001178564.3	YBR216C
NM_001178565.1	YBR217W
NM_001178566.1	YBR218C
NM_001178567.3	YBR219C
NM_001178568.3	YBR220C
NM_001178569.1	YBR221C
NM_001184644.1	YBR221W-A
NM_001178570.3	YBR222C
NM_001178571.3	YBR223C
NM_001178573.1	YBR225W
NM_001178575.1	YBR227C
NM_001178576.3	YBR228W
NM_001178577.3	YBR229C
NM_001178578.1	YBR230C
NM_001184673.1	YBR230W-A
NR_132154.1	YNCB0019C
NM_001178579.3	YBR231C
NM_001178581.3	YBR233W
NM_001184461.1	YBR233W-A
NM_001178582.1	YBR234C
NM_001178583.3	YBR235W
NM_001178584.3	YBR236C
NM_001178585.1	YBR237W
NM_001178586.1	YBR238C
NM_001178587.3	YBR239C
NM_001178588.3	YBR240C
NM_001178589.1	YBR241C
NM_001178590.1	YBR242W
NM_001178591.3	YBR243C
NM_001178592.3	YBR244W
NM_001178593.1	YBR245C
NM_001178594.1	YBR246W
NM_001178595.3	YBR247C
NM_001178596.3	YBR248C
NM_001178597.1	YBR249C
NM_001178598.1	YBR250W
NM_001178599.3	YBR251W
NM_001178600.3	YBR252W
NM_001178601.1	YBR253W
NM_001178602.1	YBR254C
NM_001178603.3	YBR255W
NM_001184510.3	YBR255C-A
NM_001178604.1	YBR256C
NM_001178605.1	YBR257W
NM_001178606.3	YBR258C
NM_001178607.3	YBR259W
NM_001178608.1	YBR260C
NM_001178609.1	YBR261C
NM_001178610.3	YBR262C
NM_001178611.3	YBR263W
NM_001178612.1	YBR264C
NM_001178613.2	YBR265W
NM_001178615.4	YBR267W
NM_001395042.1	YBR266C
NM_001178616.3	YBR268W
NM_001178617.1	YBR269C
NM_001178618.2	YBR270C
NM_001178619.3	YBR271W
NM_001178620.3	YBR272C
NM_001178621.1	YBR273C
NM_001178622.1	YBR274W
NM_001178623.4	YBR275C
NM_001178624.3	YBR276C
NM_001178626.1	YBR278W
NM_001178627.1	YBR279W
NM_001178628.3	YBR280C
NM_001178629.3	YBR281C
NM_001178630.1	YBR282W
NM_001178631.1	YBR283C
NM_001178632.3	YBR284W
NM_001178633.4	YBR285W
NM_001178634.1	YBR286W
NM_001178635.1	YBR287W
NM_001178636.4	YBR288C
NM_001178637.4	YBR289W
NM_001178638.1	YBR290W
NM_001178639.1	YBR291C
NM_001348892.1	YBR292C
NM_001178641.3	YBR293W
NM_001178642.3	YBR294W
NM_001178643.2	YBR295W
NM_001178644.1	YBR296C
NM_001184587.3	YBR296C-A
NM_001178645.3	YBR297W
NM_001178646.1	YBR298C
NM_001184588.1	YBR298C-A
NM_001178647.3	YBR299W
NM_001178649.3	YBR301W
NM_001178650.1	YBR302C
unassigned_transcript_19	YCL075W
unassigned_transcript_20	YCL074W
NM_001178711.1	YCL073C
NM_001178710.1	YCL069W
NM_001178709.1	YCL068C
NM_001178708.1	YCL067C
NM_001178707.1	YCL066W
NM_001178706.1	YCL064C
NM_001178705.1	YCL063W
NM_001178704.1	YCL061C
NM_001178703.1	YCL059C
NM_001178702.1	YCL058C
NM_001184528.1	YCL058W-A
NM_001184448.1	YCL057C-A
NM_001178701.1	YCL057W
NM_001178700.1	YCL056C
NM_001178699.1	YCL055W
NM_001305014.1	YCL054W-A
NM_001178698.1	YCL054W
NM_001178697.1	YCL052C
NM_001178696.1	YCL051W
NM_001178695.1	YCL050C
NM_001178694.1	YCL049C
NM_001184678.1	YCL048W-A
NM_001178693.1	YCL048W
NM_001178692.1	YCL047C
NM_001178690.1	YCL045C
NM_001178689.1	YCL044C
NM_001178688.1	YCL043C
NM_001178687.1	YCL042W
NM_001178685.1	YCL040W
NM_001178684.1	YCL039W
NM_001178683.1	YCL038C
NM_001178682.1	YCL037C
NM_001178681.1	YCL036W
NM_001178680.1	YCL035C
NM_001178679.1	YCL034W
NM_001178678.1	YCL033C
NM_001178677.1	YCL032W
NM_001178676.1	YCL031C
NM_001178675.1	YCL030C
NM_001178674.1	YCL029C
NM_001178673.1	YCL028W
NM_001178672.1	YCL027W
NM_001184449.1	YCL026C-B
NM_001178713.1	YCL026C-A
NM_001178671.1	YCL025C
NM_001178670.1	YCL024W
unassigned_transcript_21	YNCC0001C
NM_001184450.1	YCL021W-A
NM_001178666.2	YCL019W
NM_001178667.1	YCL020W
unassigned_transcript_22	YNCC0002W
NM_001178665.1	YCL018W
NM_001178664.1	YCL017C
NM_001178663.1	YCL016C
NM_001178662.1	YCL014W
NM_001184672.1	YCL012C
NM_001178660.1	YCL011C
NM_001178659.1	YCL010C
NM_001178658.1	YCL009C
NM_001178657.1	YCL008C
NM_001184518.1	YCL005W-A
NR_132155.1	YNCC0003C
NM_001178654.1	YCL005W
NM_001178653.1	YCL004W
NM_001178652.2	YCL002C
NM_001178651.1	YCL001W
NM_001184314.1	YCL001W-A
NM_001184462.1	YCL001W-B
NM_001348893.1	YCR001W
NM_001178715.1	YCR002C
NM_001178716.1	YCR003W
NM_001178717.1	YCR004C
NM_001178718.1	YCR005C
NM_001348894.1	YCR006C
unassigned_transcript_23	YNCC0004C
NM_001178720.1	YCR007C
unassigned_transcript_24	YNCC0005W
NM_001178721.1	YCR008W
NM_001178722.1	YCR009C
NM_001178723.1	YCR010C
NM_001178724.1	YCR011C
NM_001178725.1	YCR012W
NM_001178727.1	YCR014C
NM_001178728.1	YCR015C
NR_132156.1	YNCC0006C
unassigned_transcript_25	YNCC0007C
NM_001178729.1	YCR016W
NM_001178730.1	YCR017C
NM_001178731.1	YCR018C
unassigned_transcript_26	YNCC0008W
unassigned_transcript_27	YNCC0009C
NM_001178732.1	YCR019W
NM_001178733.1	YCR020C
NM_001178734.1	YCR020C-A
NM_001184313.1	YCR020W-B
NM_001178735.1	YCR021C
NM_001348895.1	YCR022C
NM_001178737.1	YCR023C
NM_001178738.1	YCR024C
NM_001184645.1	YCR024C-B
NM_001178739.1	YCR024C-A
NM_001348896.1	YCR025C
NM_001178741.1	YCR026C
NM_001178742.1	YCR027C
unassigned_transcript_28	YNCC0010C
NM_001178743.1	YCR028C
NM_001184315.1	YCR028C-A
NM_001178744.1	YCR030C
NR_132157.1	YNCC0011W
NM_001178745.1	YCR031C
NR_132158.1	YNCC0012C
NM_001178746.1	YCR032W
NM_001178747.1	YCR033W
NM_001178748.1	YCR034W
NM_001178749.1	YCR035C
NM_001178750.1	YCR036W
NM_001178751.1	YCR037C
NM_001178752.1	YCR038C
NM_001178753.1	YCR039C
NM_001178754.1	YCR040W
NM_001310667.1	YCR041W
NM_001178756.1	YCR042C
NR_188202.1	YNCC0015W
NM_001178757.1	YCR043C
NM_001178758.1	YCR044C
NM_001178759.1	YCR045C
NM_001178760.1	YCR046C
NM_001178761.1	YCR047C
NM_001178762.1	YCR048W
NM_001178764.1	YCR050C
NM_001178765.1	YCR051W
NM_001178766.1	YCR052W
NM_001178767.1	YCR053W
NM_001178768.1	YCR054C
NM_001178769.1	YCR057C
NM_001178770.1	YCR059C
NM_001178771.1	YCR060W
NM_001178772.1	YCR061W
unassigned_transcript_29	YNCC0013W
NM_001178774.1	YCR063W
NM_001178776.1	YCR065W
NM_001178777.1	YCR066W
NM_001178778.1	YCR067C
NM_001178779.1	YCR068W
NM_001178780.1	YCR069W
NM_001178781.1	YCR071C
NM_001178782.1	YCR072C
NM_001178783.1	YCR073C
NM_001178815.1	YCR073W-A
NM_001178784.1	YCR075C
NM_001184529.1	YCR075W-A
NM_001178785.1	YCR076C
NM_001178786.2	YCR077C
NM_001180034.1	YCR079W
NM_001178787.1	YCR081W
NM_001178788.1	YCR082W
NM_001178789.1	YCR083W
NM_001178790.1	YCR084C
NM_001348897.1	YCR085W
NM_001178792.1	YCR086W
NM_001184316.1	YCR087C-A
NM_001178794.1	YCR088W
NM_001178795.1	YCR089W
NM_001178796.1	YCR090C
NM_001178797.2	YCR091W
